name,category,role,tags,link
InsuResilience,Donor / funder,G7/V20 initiative; funds climate risk insurance for the vulnerable in developing countries; core CCHB premium subsidy mechanism,G7|climate|premium,https://www.insuresilience.org
Center for Disaster Philanthropy,Donor / funder,US strategic philanthropic intermediary; channels disaster-response grants; potential CCHB premium donor,philanthropy|disaster|grants,https://disasterphilanthropy.org
White Label Impact,Donor / funder,Impact investment advisory/platform; structures blended finance for social impact instruments,blended|impact|advisory,https://www.wlimpact.com/
Lloyd's Insurance Incubator,Donor / funder,Lloyd's Lab accelerator; incubates DRF/parametric startups including Etherisc; product development funding for innovative risk transfer,Lloyd's|incubator|DRF,https://www.lloyds.com/conducting-business/lloyds-lab
Green Climate Fund (GCF),Donor / funder,World's largest climate fund ($15.9B portfolio); IFRC is an accredited entity; approved $103M for EW4All early warning systems (2024); adaptation window directly applicable to CCHB,GCF|climate|adaptation,https://www.greenclimate.fund
German BMZ / KfW DEG,Donor / funder,Largest bilateral climate risk insurance funder; InsuResilience co-founder; backs the Natural Disaster Fund (Global Parametrics/Hannover Re); essential CCHB premium subsidy partner,BMZ|KfW|InsuResilience,https://www.bmz.de
Adaptation Fund (AF),Donor / funder,UNFCCC adaptation fund; direct access for LDCs/SIDS; faster and smaller than GCF; highly relevant for Vanuatu Pacific CCHB pilot,UNFCCC|adaptation|SIDS,https://www.adaptation-fund.org
Rockefeller Foundation,Donor / funder,Backs ARC and parametric insurance pilots; resilience and DRF innovation funder; proof-of-concept grants for insurance-linked humanitarian instruments,resilience|DRF|grants,https://www.rockefellerfoundation.org
Bill & Melinda Gates Foundation,Donor / funder,Backed Pula Series B via IFC/InsuResilience; funds agricultural parametric insurance and DFS financial inclusion at scale; CGAP primary funder,Gates|parametric|DFS,https://www.gatesfoundation.org
CIF-SCF,Impact finance / blended,"Climate Investment Funds — Strategic Climate Fund; concessional finance accessible only through MDB implementing partners (World Bank Group, IDB, AfDB, EBRD, ADB); targeted programs include PPCR (Pilot Program for Climate Resilience) directly applicable to SIDS and LDC CCHB corridors; requires MDB co-financing structure",CIF|SCF|concessional|MDB|PPCR,https://www.cif.org/topics/strategic-climate-fund
Conrad N. Hilton Foundation,Donor / funder,Co-designed WASH blended finance facility with KOIS/UNICEF/Proparco; humanitarian innovation blended structures in fragile contexts — direct structural analogue to CCHB,Hilton|blended|humanitarian,https://www.hiltonfoundation.org
Start Fund / Start Network,Donor / funder,"START Network pooled rapid-response fund and NGO consortium; ARC Replica Partner since 2018 — first non-governmental policyholder in ARC history; purchases drought policies in West and East Africa (Senegal, Somalia, Zimbabwe); disburses within 72 hours of crisis alert; 2019 Senegal drought trigger: six Start Network member agencies (Action Against Hunger, Catholic Relief Services, Oxfam, Plan International, Save the Children, World Vision) distributed enriched flour and made cash transfers to 335,000+ people across seven regions using Replica payout funds — the most complete documented end-to-end parametric humanitarian payout chain yet deployed; directly analogous to CCHB's humanitarian delivery architecture",pooled fund|rapid response|ARC Replica|Senegal|anticipatory,https://startnetwork.org/start-fund
Loss & Damage Fund,Donor / funder,UN fund for loss and damage from climate change; formally established COP28 (2023); hosted by World Bank transitionally; first capitalisation ~$700M pledged; designed to finance impacts that cannot be adapted to — CCHB sits in the adaptation/response boundary directly relevant to its mandate; potential premium co-funder for SIDS corridors,L&D|UNFCCC|COP28|SIDS|climate,
Building Bridges,Think tank / coordinator,Geneva sustainable finance initiative; annual summit convening ILS/impact/SDG investor community — core CCHB investor outreach and deal-making platform,Geneva|SDG|ILS summit,https://www.buildingbridges.org
Symbiotics,Impact finance / blended,Geneva impact AM; microfinance and blended finance; potential CCHB junior/impact tranche investor,Geneva|blended|impact AM,https://www.symbioticsgroup.com
3IF,Impact finance / blended,Impact Insurance Innovations Initiative; impact-first ILS/insurance instrument — managed by Rift Partners,impact|ILS|Rift Partners,https://acceleratingimpact.org/cohort/rift-partners/
Convergence Finance,Donor / funder,"Global blended finance network; $231B historical deal database (1,233 transactions); designs and seeds blended structures; key CCHB capital stack matchmaker and convener",blended|network|database,https://www.convergence.finance
IFC (World Bank Group),Impact finance / blended,DFI arm of World Bank; first-loss tranche provider; backed Pula Series B; GCF accredited entity; essential for CCHB blended capital stack,DFI|first-loss|Pula,https://www.ifc.org
AFD / Proparco,Impact finance / blended,French DFI; blended finance champion; climate adaptation in fragile states; draws on European Blending Facilities and GCF mobilisation,DFI|blended|France,https://www.proparco.fr
EBRD / EIB,Impact finance / blended,European development banks; climate adaptation mandates; concessional debt or guarantee layer for CCHB SIDS and fragile-state pilots,DFI|Europe|guarantee,https://www.ebrd.com
KOIS,Broker / structuring agent,Impact finance advisor; designed WASH blended facility with UNICEF/Proparco/Hilton Foundation — a direct structural parallel to CCHB's blended architecture,advisory|blended|UNICEF,https://koisinvest.com
BlueOrchard (Schroders),Impact finance / blended,Impact AM (Schroders subsidiary); led Pula Series B via InsuResilience strategy; climate insurance impact mandates; closest investor archetype to CCHB needs,impact AM|Pula|InsuResilience,https://www.blueorchard.com
Vision Fund International,Impact finance / blended,Impact investment arm of World Vision; invested in IBISA Network; finances inclusive finance and resilience solutions for vulnerable smallholder communities — natural CCHB blended finance partner given shared beneficiary base,World Vision|impact|smallholder|IBISA,https://www.visionfund.org
Acumen Resilient Agriculture Fund,Impact finance / blended,Acumen's dedicated fund for agricultural resilience in sub-Saharan Africa and South Asia; patient capital for parametric insurance and climate-smart agri innovations; invested in companies like Pula; concessional first-loss tranche model directly applicable to CCHB capital stack,Acumen|agriculture|resilience|patient capital,https://acumen.org/companies/acumen-resilient-agriculture-fund
AfDB ABM — Adaptation Benefit Mechanism,Impact finance / blended,African Development Bank's Adaptation Benefit Mechanism; certifies and monetises measurable adaptation benefits as tradeable units purchased by donor governments; enables project developers to attract private co-finance by pre-selling certified adaptation results — directly applicable to CCHB payout as a certified adaptation outcome; pioneering results-based climate finance model,AfDB|adaptation|results-based|climate finance|Africa,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/adaptation-benefit-mechanism-abm
Asian Development Bank Ventures (ADBV),Impact finance / blended,ADB's innovation and venture arm; backs climate-resilient finance solutions across Asia-Pacific; SIDS and Pacific corridor mandate overlaps directly with CCHB Vanuatu pilot; can provide concessional co-financing or first-loss guarantee alongside the CCHB bond structure,ADB|SIDS|Pacific|venture|concessional,https://ventures.adb.org
Ankur Capital,Impact finance / blended,"Indian impact VC; invested in IBISA Network; portfolio focused on agriculture, financial inclusion and climate resilience for low-income populations in South Asia; early-stage parametric insurance ecosystem builder",impact VC|India|IBISA|agriculture,https://www.ankurcapital.com
AXA Climate,Cat bond / reinsurance,AXA's dedicated parametric arm; underwrites emerging market and agricultural parametric products at scale,parametric|agriculture|AXA,https://www.axa-climate.com
Pula,Parametric insurer,Pioneering insurtech based in Nairobi (founded 2014); uses technology and parametric insurance to reach previously unbanked and uninsured smallholder farmers across Africa and Asia; 21M+ farmers across 19 countries; AI analytics and digital platforms to manage climate risks; $20M Series B led by BlueOrchard/IFC/Gates Foundation; also backed by Acumen Resilient Agriculture Fund,insurtech|agriculture|Africa|Nairobi|smallholder,https://www.pula-advisors.com
IBISA Network,Parametric insurer,"Global climate insurtech operating across Europe, Asia, and Africa; partners with leading reinsurers and local insurers to close the protection gap; advanced expertise in parametric insurance design, satellite-based weather monitoring, and automated payout systems; fast, objective, transparent claims with no field assessment required; 700K+ people covered; backed by Vision Fund (World Vision) and Ankur Capital; ClimaCash+ is their flagship humanitarian cash-transfer parametric product — direct CCHB structural analog",satellite|parametric|Africa|ClimaCash+|insurtech,https://ibisa.network
Lemonade,Parametric insurer,AI-driven digital insurer; instant parametric-like claims processing; tech stack reference architecture for CCHB,digital|AI|claims,https://www.lemonade.com/
African Risk Capacity (ARC),Cat bond / reinsurance,"Pan-African sovereign parametric pool; subscribed by Senegal since 2014 covering agricultural drought via Africa Risk View satellite index (USD 30M cap); government finances drought policy; PTF co-finance epidemic and livestock policies; ARC Replica mechanism allows CSOs (Start Network, Oxfam) to take mirror policies covering the most vulnerable unreachable by the sovereign mechanism — Oxfam reached 31,942 beneficiaries (16,229 women) in 2023; flood extension under discussion but faces parameterisation challenges; ARC Malawi 2015–16 basis risk is canonical CCHB cautionary tale",sovereign pool|Africa|drought|Senegal|ARC Replica,https://www.africanriskcapacity.org
CCRIF SPC,Cat bond / reinsurance,"Caribbean & Pacific sovereign parametric pool; covers Haiti, Jamaica and Pacific SIDS — direct CCHB corridor overlap",sovereign pool|Caribbean|Pacific,https://www.ccrif.org
Floodbase,Parametric insurer,Satellite flood monitoring and parametric flood insurance for municipalities; trigger design and underwriting partner for CCHB flood perils,flood|satellite|trigger,https://www.floodbase.com
Global Parametrics,Risk modeller / data trigger,Parametric index design; NDF manager; One Acre Fund Zambia/Malawi parametric payout rails; published Feb 2026 humanitarian cat bond whitepaper,index|NDF|whitepaper,https://www.globalparametrics.com
Mitiga Solutions,Risk modeller / data trigger,Volcano risk modelling; built trigger model for Dunant Re; climate risk analytics for emerging markets and humanitarian contexts,volcano|modelling|Dunant Re,https://www.mitigasolutions.com
AIR Worldwide,Risk modeller / data trigger,Industry-standard catastrophe models (Verisk); used in ILS trigger design and SPV documentation globally,cat model|ILS|Verisk,https://www.verisk.com/extreme-event-solutions
ParametricsMatters,Risk modeller / data trigger,"Parametric insurance consultancy; knowledge-sharing on product design, basis risk management and index calibration",advisory|basis risk|design,https://www.parametricmatters.com/
NASA FIRMS / Lifeline,Risk modeller / data trigger,"NASA open satellite data (fire, flood, disaster events); provides trigger index data for CCHB parametric instruments at no cost",NASA|satellite|open data,https://firms.modaps.eosdis.nasa.gov
Dataminr Signal,Risk modeller / data trigger,Real-time event detection from open data; early warning for trigger events; Dataminr for Good nonprofit access pathway,early warning|AI|real-time,https://www.dataminr.com
Flowminder,Data / analytics / tech,Non-profit; mobility and population data from mobile networks; beneficiary mapping and displacement tracking for CCHB trigger zones,mobility|population|data,https://www.flowminder.org
Google Flood Hub,Data / analytics / tech,Google Research platform providing AI-powered river flood forecasting up to 7 days ahead for 1800+ rivers across 80+ countries; uses ML models trained on historical streamflow and weather data to generate inundation maps and flood extent predictions at sub-daily resolution; free public API and dashboard — directly relevant as a trigger data source for parametric flood instruments in CCHB target corridors (Sub-Saharan Africa,South Asia,Caribbean)
Bright Data,Risk modeller / data trigger,Web data platform; structured data collection for trigger index verification and calibration,data|structured|verification,https://brightdata.com
Kettle,Risk modeller / data trigger,AI wildfire parametric MGA; clear-cut loss definition methodology — instructive for CCHB trigger index design,AI|wildfire|MGA,https://ourkettle.com
Replexus Limited,Broker / structuring agent,ILS securitisation facilitator; ILSBlox blockchain settlement platform; structured and settled Dunant Re via Replexus ICC Guernsey; saves $200–400K per issuance vs traditional settlement,SPV|blockchain|Dunant Re,https://replexus.co.uk
Etherisc,Blockchain / DeFi insurance,Decentralised insurance protocol (Generic Insurance Framework); smart contract parametric triggers; Lloyd's Lab alumnus,DeFi|GIF|smart contract,https://docs.etherisc.com/gif/
Nexus Mutual,Blockchain / DeFi insurance,Decentralised mutual on Ethereum; risk-sharing pools; potential DeFi capital layer for CCHB surplus absorption,DeFi|mutual|Ethereum,https://nexusmutual.io/
onRe Finance,Blockchain / DeFi insurance,Blockchain reinsurance marketplace; tokenised risk transfer instruments,DeFi|tokenised|reinsurance,https://www.onre.finance/about-us
InsurAce,Blockchain / DeFi insurance,Multi-chain DeFi insurance; liquidity mining for risk capital; on-chain CVA insurance layer,DeFi|multi-chain|stablecoin,https://insurace.io/mining
Ensuro,Blockchain / DeFi insurance,On-chain reinsurance capital; stablecoin collateral; smart contract payout automation for parametric triggers,DeFi|stablecoin|parametric,https://ensuro.co
Encointer,Blockchain / DeFi insurance,"Community currency blockchain (Nyota, Tanzania); CVA multiplier effect and resilience token concept for CCHB beneficiaries",community currency|Tanzania|basic income,https://encointer.org
Plenum Investments,ILS investor,Swiss ILS specialist; cornerstone Dunant Re investor; leads humanitarian ILS impact allocation in Geneva market,ILS|Dunant Re|Switzerland,https://www.plenum.de
Schroder Investment Mgmt,ILS investor,Global AM; ILS arm invested in Dunant Re; growing ILS and ESG/impact allocation across mandates,ILS|Dunant Re|global AM,https://www.schroders.com
Solidum Partners,ILS investor,Swiss ILS specialist; Dunant Re investor; co-origin of Replexus ILSBlox blockchain settlement platform,ILS|Dunant Re|blockchain,https://www.solidumpartners.com
Pictet,Impact finance / blended,Geneva private bank; ILS investment desk; broad sustainability mandate; CCHB ILS investor target,ILS|Geneva|private bank,https://www.pictet.com
Lombard Odier,Impact finance / blended,Geneva private bank; participated in blockchain-settled ILS secondary trade; active ILS allocation and sustainability focus,ILS|Geneva|blockchain,https://www.lombardodier.com
Rift Partners,ILS investor,ILS-focused investment manager; specialist in collateralised reinsurance; manages the 3IF (Impact Insurance Innovations Initiative) fund,ILS|collateralised|3IF,https://www.riftpartners.com
Man Group,ILS investor,Global AM; published research on cat bonds as impact fixed income (2024); growing ILS/sustainability mandate — CCHB institutional investor target,ILS|impact|global AM,https://www.man.com
Swiss Re,Cat bond / reinsurance,Global reinsurer; ILS structuring; sovereign parametric covers; World Bank partner; essential CCHB risk capacity provider,reinsurer|parametric|sovereign,https://www.swissre.com
Munich Re,Cat bond / reinsurance,Global reinsurer; 1000+ parametric requests/year via Munich Re Capital Partners; routinely structures CCHB-type instruments,reinsurer|parametric|ILS,https://www.munichre.com
Hannover Re,Cat bond / reinsurance,Global reinsurer; backs One Acre Fund Natural Disaster Fund; co-issued Cumulus Re parametric cyber cat bond (2024),reinsurer|NDF|parametric,https://www.hannover-re.com
Howden Group Holdings,Broker / structuring agent,Co-brought Dunant Re to market via Howden Capital Markets; key ILS structuring and placing agent; Howden Foundation co-funded Dunant Re development,broker|Dunant Re|ILS,https://www.howdengroup.com
Aon,Broker / structuring agent,Global broker; manages Dunant Re IC Ltd (Guernsey) via Aon Insurance Managers; IFRC-DREF insurance partner; CCHB deal structurer,broker|DREF|Dunant Re,https://www.aon.com
Miller,Broker / structuring agent,Specialist London insurance broker; growing ILS and parametric placement capability; relevant for CCHB humanitarian bond structuring,broker|ILS|London,https://www.miller-insurance.com
WTW — Climate & Resilience Hub,Broker / structuring agent,Willis Towers Watson's dedicated climate risk unit; develops Climate and Development Insurance (CDI) — parametric and index-based covers designed for climate-vulnerable developing countries; advisory on sovereign risk finance and disaster risk transfer; direct structural overlap with CCHB premium and trigger design,broker|CDI|climate|parametric|advisory,https://www.wtwco.com/en-gb/solutions/products/climate-and-resilience-hub
Digicel Haiti (MonCash),DFS / MNO / payment,Primary CCHB Haiti last-mile rail; MonCash born out of 2011 earthquake humanitarian disbursements; 2M+ active wallets; government social cash transfer platform,MonCash|Haiti|humanitarian,https://www.digicelgroup.com
Digicel Pacific (MyCash),DFS / MNO / payment,Pacific last-mile rail; Vanuatu recommended pilot; MyCash disaster donation platform activated December 2024; Telstra-owned,MyCash|Vanuatu|Pacific,https://www.digicelgroup.com
Airtel Africa,DFS / MNO / payment,CCHB Africa MNO; Zambia/Malawi/Kenya priority pilots; Mastercard cross-border API (2023); 14 markets; 100M+ users,Airtel Money|Africa|bulk payment,https://airtel.africa
Thunes,DFS / MNO / payment,Cross-border payment superhighway; CALP-engaged April 2024; treasury pre-funding in local currencies; one contract covers Haiti+Pacific+Africa corridors,CALP|treasury|aggregator,https://thunes.com
Onafriq,DFS / MNO / payment,Pan-African mobile money hub; 43 markets; 1B+ wallets; 500M bank accounts; Visa Pay DRC partnership (2025); CCHB Africa routing layer,Africa|aggregator|Visa,https://onafriq.com
Remitly,DFS / MNO / payment,Digital remittance platform; connects to MonCash Haiti and Digicel Pacific; potential diaspora co-funding rail for CCHB,remittance|MonCash|diaspora,https://www.remitly.com
TearFund,CVA / field implementer,UK faith-based NGO; documented parametric insurance adopter per Global Parametrics Feb 2026 whitepaper,CVA|field|AA,https://www.tearfund.org
MercyCorps,CVA / field implementer,International NGO; anticipatory action and DFS/CVA delivery in fragile states,CVA|DFS|AA,https://www.mercycorps.org
GiveDirectly,CVA / field implementer,Pioneer in unconditional direct cash transfers; global benchmark for last-mile CVA delivery efficiency and cost-effectiveness,CVA|direct cash|benchmark,https://www.givedirectly.org
Jokalante,CVA / field implementer,Senegal/Gambia; SMS/voice/USSD agricultural and financial information delivery; AA last-mile link for West Africa CCHB pilots,USSD|Senegal|AA,https://jokalante.com
Togglecorp,Data / analytics / tech,Humanitarian data analytics firm (Kathmandu); built DEEP platform for humanitarian information management; data layer for CCHB EAP design,IM|DEEP|humanitarian,https://togglecorp.com
iMMAP,Data / analytics / tech,Information management NGO; geospatial data and situation analysis for humanitarian response operations,data|IM|GIS,https://immap.org
Craf'd,Donor / funder,Design/technology consultancy in humanitarian space; UX and tech implementation for beneficiary-facing CCHB tools,design|tech|UX,https://crafd.io/
World Bank / IBRD,UN — risk finance & DRF,Issued $4.5B+ cat bonds; IBRD Treasury SPV; Jamaica cat bond sponsor; convener of the sovereign parametric market globally,cat bond|SPV|sovereign,https://www.worldbank.org
UNCDF,UN — risk finance & DRF,"UN Capital Development Fund; DFS/mobile money financial inclusion in LDCs; active in Pacific (Vanuatu, Fiji) — CCHB last-mile DFS ally",DFS|LDC|Pacific,https://www.uncdf.org
UNDRR,UN — risk finance & DRF,UN disaster risk reduction; Sendai Framework; advocacy for DRF instruments and anticipatory action policy frameworks,DRR|Sendai|policy,https://www.undrr.org
CGAP,Donor / funder,World Bank Group DFS standards body and grant-maker; sets financial inclusion norms for mobile money; funds research and pilots on digital financial services for the poor — relevant as a technical assistance funder and standard-setter for the last-mile DFS rails that CCHB payouts depend on,DFS|financial inclusion|World Bank|grant,https://www.cgap.org
ADRiFi,UN — risk finance & DRF,African Disaster Risk Financing Initiative; joint AU-AfDB-UNDP programme; supports African governments to develop national disaster risk finance strategies and access sovereign parametric instruments; operationalises the link between AU member states and instruments like ARC and CCRIF — natural institutional home for CCHB sovereign corridor negotiations in Africa,AU|AfDB|UNDP|sovereign|DRF,https://www.adrift.africa
IFRC / DREF,UN — humanitarian operations,DREF anticipatory pillar; CHF 85M allocated across 167 operations (2024); EAP trigger framework; primary CCHB humanitarian sponsor candidate; bridge financing for emergency operations in Senegal; technical support for EAP protocol development with Senegalese Red Cross on flood Early Action Protocols,DREF|EAP|sponsor|Senegal|anticipatory,https://www.ifrc.org
WFP,UN — humanitarian operations,"Parametric insurance pioneer since 2006; ARC Mozambique payout recipient ($3.6M, 2024/25); large-scale CVA delivery globally",parametric|food security|CVA,https://www.wfp.org
UNICEF,UN — humanitarian operations,Documented parametric insurance adopter; CVA and cash transfer delivery at scale for children in crisis settings,CVA|parametric|children,https://www.unicef.org
OCHA,UN — humanitarian operations,Humanitarian coordination; CERF pooled fund ($600M/year); triggers emergency appeals that interact with cat bond payout timing,CERF|pooled fund|coordination,https://www.unocha.org
UNDP,UN — humanitarian operations,Development programme; GCF accredited entity; led $103M EW4All early warning project (2024) with IFRC/WMO/UNDRR,development|EW4All|GCF,https://www.undp.org
FAO,UN — humanitarian operations,Food and agriculture; 2.33B food insecure globally (2023); smallholder farmer data underpins CCHB beneficiary definition and ARC trigger design,agriculture|food security|smallholder,https://www.fao.org
IOM,UN — humanitarian operations,International Organization for Migration; DTM displacement tracking matrix; beneficiary registry for conflict/disaster displacement contexts,migration|displacement|DTM,https://www.iom.int
CRIF,Precedent instrument,InsuResilience Climate Risk Insurance Facility; BMZ-funded grant mechanism that co-finances premium costs for parametric climate risk insurance in developing countries; operational blueprint for the CCHB premium subsidy layer — validates the donor-pays-premium model at scale,InsuResilience|BMZ|premium subsidy|parametric,https://www.insuresilience.org/solutions-platform/crif
Jamaica CAT Bond,Precedent instrument,"World Bank IBRD-issued $185M sovereign catastrophe bond for Jamaica (2021); parametric trigger for hurricane wind speed; 3-year term; first Caribbean sovereign cat bond with a humanitarian payout mechanism; canonical CCHB structural reference — same SPV-IBRD architecture, same parametric trigger logic",World Bank|sovereign|Caribbean|hurricane|IBRD,https://treasury.worldbank.org/en/about/unit/treasury/cat-bonds
African Risk Capacity,Precedent instrument,"AU-affiliated pan-African sovereign parametric risk pool; AU-backed, 36 member states; Senegal subscriber since 2014 — USD 30M drought cap via Africa Risk View satellite index; ARC Replica sub-sovereign window enables CSO mirror policies (Start Network, Oxfam); Oxfam 2023 Senegal payout reached 31,942 beneficiaries (54% women); Mozambique cyclone payout ($5.4M 2024/25) shows mechanism works when trigger is well-calibrated; ARC Malawi 2015–16 basis risk episode is canonical CCHB trigger calibration cautionary tale",sovereign pool|Africa|drought|Senegal|ARC Replica,https://www.africanriskcapacity.org
ClimaCash+,Precedent instrument,"IBISA Network's flagship product combining satellite parametric insurance with direct mobile cash transfer to smallholders on trigger; deployed in Africa and Asia; structurally the closest existing product to CCHB — same parametric trigger logic, same last-mile mobile payout rail, same target beneficiary profile; key proof-of-concept reference for CCHB investors and donors",IBISA|parametric|mobile payout|cash transfer|smallholder,https://microinsurancenetwork.org/posts/clima-cash-how-vision-fund-and-ibisa-are-looking-to-transform-climate-insurance
DREF Anticipatory Action,Precedent instrument,"IFRC Disaster Relief Emergency Fund anticipatory action window; pre-approved EAP triggers release funds before a disaster strikes; CHF 85M allocated across 167 operations (2024); the closest operational precedent to CCHB's automatic payout chain — same trigger-before-event logic, same humanitarian delivery infrastructure",IFRC|EAP|anticipatory|pre-positioned|trigger,
Agrecol Afrique,CVA / field implementer,"Agroecology NGO based in Thiès, Senegal; promotes ecological farming transitions for smallholder farmers across West Africa; technical advisory on crop diversity and soil resilience — directly informs CCHB beneficiary vulnerability profiling in Senegal",agroecology|smallholder|West Africa|Senegal|Thiès,https://agrecolafrique.org
ENDA Pronat,Think tank / coordinator,ENDA Graf Sahel's pesticides and natural farming programme; long-standing Senegal-based advocacy and field network promoting agroecological practices and reducing agro-chemical dependency among smallholders; strong community mobilisation capacity relevant to CCHB beneficiary registration,agroecology|advocacy|Senegal|pesticides|community,https://endapronat.org
SCALA,Think tank / coordinator,Scaling up Agroecology programme (FAO/EU); supports national governments and civil society to embed agroecology in policy and finance frameworks; active in Senegal; relevant as institutional bridge between CCHB trigger design and national agricultural adaptation strategies,agroecology|FAO|EU|policy|Senegal,https://www.fao.org/in-action/scala/countries/senegal/en
CNAAS,Parametric insurer,"Compagnie Nationale d'Assurance Agricole du Sénégal — central actor in retail agricultural financial protection in Senegal; grew from 25,164 clients (2012) to 844,497 (2023); public-private partnership (36% state, 64% private insurers and farmer associations); state subsidises 50% of premiums plus tax exemption; covers zones Ouest (Thiès, Dakar, Louga, Diourbel), Centre-Sud and Nord; nine products: crop insurance for six cultures (groundnut, millet, sorghum, maize, cotton, rice), livestock mortality, artisanal fisheries pilot, pastoral cover; satellite and evapotranspiration index introduced as key advance; cover up to USD 10.5M per department; gap: no products yet for urban flooding or coastal erosion",agricultural insurance|parametric|index-based|Senegal|state,https://cnaas.sn
ENSA Thiès,Data / analytics / tech,"École Nationale Supérieure d'Agriculture de Thiès — Senegal's principal public agricultural university; agronomic research, soil and crop science, training of agricultural extension agents; potential CCHB partner for trigger index ground-truthing, basis-risk validation, and local academic credibility in Senegal",university|Senegal|Thiès|agriculture|research,https://v3.uidt.sn/ensa
Africa Re,Cat bond / reinsurance,African Reinsurance Corporation — pan-African multilateral reinsurer owned by 42 African states and the AfDB; largest reinsurer on the continent; key capacity provider for parametric and agricultural risk in Africa; co-author (with Gallagher Re) of scalable risk transfer framework directly relevant to CCHB structuring,reinsurance|Africa|multilateral|capacity|parametric,https://www.africa-re.com
Gallagher Re,Broker / structuring agent,Global reinsurance broker and risk advisory; co-author (with Africa Re) of 'Accelerating action through scalable risk transfer schemes'; expertise in parametric product structuring and ILS placement; natural CCHB deal-structuring and placement partner,reinsurance broker|parametric|ILS|structuring|advisory,https://www.gallagherre.com
